"BehaviorSpace results (NetLogo 7.0.4),""Table version 2.0"""
Virus.nlogox
experimento_evolutivo
05/26/2026 18:57:23:470 -0500
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-17,""17"",""-17"",""17"""
"[run number],""infectiousness"",""[step]"",""count turtles with [sick?]"""
"5,""10"",""0"",""10"""
"5,""10"",""1"",""10"""
"5,""10"",""2"",""11"""
"5,""10"",""3"",""11"""
"5,""10"",""4"",""11"""
"5,""10"",""5"",""11"""
"5,""10"",""6"",""11"""
"5,""10"",""7"",""11"""
"5,""10"",""8"",""11"""
"5,""10"",""9"",""11"""
"5,""10"",""10"",""11"""
"5,""10"",""11"",""11"""
"5,""10"",""12"",""11"""
"5,""10"",""13"",""11"""
"5,""10"",""14"",""11"""
"5,""10"",""15"",""11"""
"1,""10"",""0"",""10"""
"4,""10"",""0"",""10"""
"5,""10"",""16"",""11"""
"5,""10"",""17"",""11"""
"5,""10"",""18"",""11"""
"5,""10"",""19"",""12"""
"2,""10"",""0"",""10"""
"3,""10"",""0"",""10"""
"5,""10"",""20"",""12"""
"4,""10"",""1"",""10"""
"5,""10"",""21"",""2"""
"2,""10"",""1"",""10"""
"3,""10"",""1"",""10"""
"1,""10"",""1"",""10"""
"6,""10"",""0"",""10"""
"3,""10"",""2"",""10"""
"4,""10"",""2"",""10"""
"5,""10"",""22"",""1"""
"2,""10"",""2"",""10"""
"4,""10"",""3"",""10"""
"5,""10"",""23"",""1"""
"5,""10"",""24"",""1"""
"6,""10"",""1"",""10"""
"3,""10"",""3"",""10"""
"4,""10"",""4"",""10"""
"5,""10"",""25"",""1"""
"4,""10"",""5"",""10"""
"5,""10"",""26"",""1"""
"3,""10"",""4"",""10"""
"2,""10"",""3"",""10"""
"6,""10"",""2"",""10"""
"5,""10"",""27"",""1"""
"4,""10"",""6"",""10"""
"5,""10"",""28"",""1"""
"3,""10"",""5"",""10"""
"2,""10"",""4"",""10"""
"4,""10"",""7"",""10"""
"6,""10"",""3"",""10"""
"5,""10"",""29"",""1"""
"4,""10"",""8"",""10"""
"3,""10"",""6"",""10"""
"2,""10"",""5"",""10"""
"6,""10"",""4"",""10"""
"5,""10"",""30"",""1"""
"4,""10"",""9"",""10"""
"6,""10"",""5"",""10"""
"3,""10"",""7"",""10"""
"5,""10"",""31"",""1"""
"4,""10"",""10"",""10"""
"2,""10"",""6"",""10"""
"3,""10"",""8"",""10"""
"5,""10"",""32"",""1"""
"6,""10"",""6"",""10"""
"4,""10"",""11"",""10"""
"4,""10"",""12"",""10"""
"6,""10"",""7"",""10"""
"4,""10"",""13"",""10"""
"3,""10"",""9"",""10"""
"2,""10"",""7"",""10"""
"5,""10"",""33"",""1"""
"4,""10"",""14"",""10"""
"6,""10"",""8"",""10"""
"5,""10"",""34"",""1"""
"2,""10"",""8"",""10"""
"3,""10"",""10"",""10"""
"5,""10"",""35"",""1"""
"2,""10"",""9"",""10"""
"6,""10"",""9"",""10"""
"5,""10"",""36"",""1"""
"3,""10"",""11"",""10"""
"5,""10"",""37"",""1"""
"4,""10"",""15"",""10"""
"4,""10"",""16"",""10"""
"6,""10"",""10"",""10"""
"5,""10"",""38"",""1"""
"3,""10"",""12"",""10"""
"1,""10"",""2"",""10"""
"4,""10"",""17"",""10"""
"6,""10"",""11"",""10"""
"2,""10"",""10"",""10"""
"5,""10"",""39"",""1"""
"4,""10"",""18"",""10"""
"3,""10"",""13"",""10"""
"4,""10"",""19"",""10"""
"6,""10"",""12"",""10"""
"5,""10"",""40"",""0"""
"4,""10"",""20"",""10"""
"2,""10"",""11"",""10"""
"3,""10"",""14"",""10"""
"6,""10"",""13"",""10"""
"6,""10"",""14"",""10"""
"7,""10"",""0"",""10"""
"2,""10"",""12"",""11"""
"7,""10"",""1"",""10"""
"3,""10"",""15"",""10"""
"7,""10"",""2"",""11"""
"6,""10"",""15"",""10"""
"4,""10"",""21"",""0"""
"7,""10"",""3"",""12"""
"6,""10"",""16"",""10"""
"3,""10"",""16"",""10"""
"7,""10"",""4"",""13"""
"2,""10"",""13"",""11"""
"7,""10"",""5"",""13"""
"6,""10"",""17"",""10"""
"7,""10"",""6"",""13"""
"2,""10"",""14"",""11"""
"3,""10"",""17"",""10"""
"7,""10"",""7"",""14"""
"6,""10"",""18"",""10"""
"8,""10"",""0"",""10"""
"2,""10"",""15"",""11"""
"6,""10"",""19"",""10"""
"7,""10"",""8"",""16"""
"8,""10"",""1"",""10"""
"3,""10"",""18"",""10"""
"7,""10"",""9"",""16"""
"8,""10"",""2"",""10"""
"6,""10"",""20"",""10"""
"8,""10"",""3"",""10"""
"7,""10"",""10"",""16"""
"2,""10"",""16"",""11"""
"8,""10"",""4"",""10"""
"3,""10"",""19"",""10"""
"6,""10"",""21"",""0"""
"8,""10"",""5"",""10"""
"7,""10"",""11"",""17"""
"2,""10"",""17"",""11"""
"3,""10"",""20"",""10"""
"8,""10"",""6"",""10"""
"9,""10"",""0"",""10"""
"7,""10"",""12"",""17"""
"8,""10"",""7"",""10"""
"9,""10"",""1"",""10"""
"8,""10"",""8"",""10"""
"7,""10"",""13"",""18"""
"9,""10"",""2"",""10"""
"2,""10"",""18"",""11"""
"3,""10"",""21"",""0"""
